"","dat_work","Freq","IDBANK","def","LAST_UPDATE","source","unite","unite_mult","max_period"
"1",2017-02-27,"M","001694099","Balance des paiements - Crédit - Compte de capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"2",2017-02-27,"M","001694100","Balance des paiements - Crédit - Compte de capital - Acquisitions / cessions brutes d'actifs non financiers non produits - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"3",2017-02-27,"M","001694101","Balance des paiements - Crédit - Compte de capital - Transferts en capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"4",2017-02-27,"M","001694108","Balance des paiements - Crédit - Compte de capital - Transferts en capital - Administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"5",2017-02-27,"M","001694109","Balance des paiements - Crédit - Compte de capital - Transferts en capital - Administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"6",2017-02-27,"M","001694110","Balance des paiements - Crédit - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"7",2017-02-27,"M","001694111","Balance des paiements - Crédit - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"8",2017-02-27,"M","001694163","Balance des paiements - Débit - Compte de capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"9",2017-02-27,"M","001694164","Balance des paiements - Débit - Compte de capital - Acquisitions / cessions brutes d'actifs non financiers non produits - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"10",2017-02-27,"M","001694165","Balance des paiements - Débit - Compte de capital - Transferts en capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"11",2017-02-27,"M","001694166","Balance des paiements - Débit - Compte de capital - Transferts en capital - Administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"12",2017-02-27,"M","001694167","Balance des paiements - Débit - Compte de capital - Transferts en capital - Administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"13",2017-02-27,"M","001694168","Balance des paiements - Débit - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"14",2017-02-27,"M","001694169","Balance des paiements - Débit - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"15",2017-02-27,"M","001694226","Balance des paiements - Solde - Compte de capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"16",2017-02-27,"M","001694227","Balance des paiements - Solde - Compte de capital - Acquisitions / cessions brutes d'actifs non financiers non produits - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"17",2017-02-27,"M","001694228","Balance des paiements - Solde - Compte de capital - Transferts en capital - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"18",2017-02-27,"M","001694229","Balance des paiements - Solde - Compte de capital - Transferts en capital - Administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"19",2017-02-27,"M","001694230","Balance des paiements - Solde - Compte de capital - Transferts en capital - Administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"20",2017-02-27,"M","001694231","Balance des paiements - Solde - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"21",2017-02-27,"M","001694232","Balance des paiements - Solde - Compte de capital - Transferts en capital - Secteurs hors administrations publiques - Remises de dettes - Données brutes","2017-02-07","BPM6-CCAPITAL/","EUR","6","2016-12"
"22",2017-02-27,"M","001694102","Balance des paiements - Crédit - Compte financier - Avoirs de réserve - Droits de tirage spéciaux - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"23",2017-02-27,"M","001694103","Balance des paiements - Crédit - Compte financier - Avoirs de réserve - Position de réserve au FMI - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"24",2017-02-27,"M","001694104","Balance des paiements - Crédit - Compte financier - Avoirs de réserve - Autres avoirs de réserve - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"25",2017-02-27,"M","001694112","Balance des paiements - Crédit - Compte financier - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"26",2017-02-27,"M","001694113","Balance des paiements - Crédit - Compte financier - Investissements directs, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"27",2017-02-27,"M","001694114","Balance des paiements - Crédit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"28",2017-02-27,"M","001694115","Balance des paiements - Crédit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Actions et participations autres que réinvestissements des bénéfices, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"29",2017-02-27,"M","001694116","Balance des paiements - Crédit - Compte financier - Investissements directs - Actions et parts de fonds de placement - Réinvestissement des bénéfices - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"30",2017-02-27,"M","001694117","Balance des paiements - Crédit - Compte financier - Investissements directs - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"31",2017-02-27,"M","001694118","Balance des paiements - Crédit - Compte financier - Investissements de portefeuille - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"32",2017-02-27,"M","001694119","Balance des paiements - Crédit - Compte financier - Investissements de portefeuille - Actions et parts de fonds de placement - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"33",2017-02-27,"M","001694120","Balance des paiements - Crédit - Compte financier - Investissements de portefeuille - Titres de créance - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"34",2017-02-27,"M","001694121","Balance des paiements - Crédit - Compte financier - Dérivés financiers (autres que les réserves) et options sur titres des salariés - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"35",2017-02-27,"M","001694122","Balance des paiements - Crédit - Compte financier - Autres investissements - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"36",2017-02-27,"M","001694123","Balance des paiements - Crédit - Compte financier - Autres investissements - Instruments de dette - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"37",2017-02-27,"M","001694124","Balance des paiements - Crédit - Compte financier - Avoirs de réserve - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"38",2017-02-27,"M","001694125","Balance des paiements - Crédit - Compte financier - Avoirs de réserve - Or monétaire - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"39",2017-02-27,"M","001694170","Balance des paiements - Débit - Compte financier - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
"40",2017-02-27,"M","001694171","Balance des paiements - Débit - Compte financier - Investissements directs, en valeur comptable - Données brutes","2017-02-07","BPM6-CFINANCIER/","EUR","6","2016-12"
