"","position","base","log"
"1",1,"ACT-PARTIELLE-DEP/","n'est pas mensuelle|0"
"2",2,"ACT-PARTIELLE-REG/","n'est pas mensuelle|0"
"3",3,"ACT-TRIM-ANC/","n'est pas mensuelle|0"
"4",4,"AGM-NAS-DEP/","n'est pas mensuelle|0"
"5",5,"AGM-NAS-REG/","n'est pas mensuelle|0"
"6",6,"APE-PEC-DEP/","n'est pas mensuelle|0"
"7",7,"APE-PEC-REG/","n'est pas mensuelle|0"
"8",8,"APP-JEN-DEP/","n'est pas mensuelle|0"
"9",9,"APP-JEN-REG/","n'est pas mensuelle|0"
"10",10,"BPM6-CCAPITAL/","Base bien chargee et en position 1|0"
"11",11,"BPM6-CFINANCIER/","Base bien chargee et en position 2|0"
"12",12,"BPM6-CTRANSACTION/","Base bien chargee et en position 3|0"
"13",13,"BPM6-TOTAL/","Base bien chargee et en position 4|0"
"14",14,"CA-INTERNET/","Il manque les variables importantes dans la base|0"
"15",15,"CA-VOL-ALIM/","Il manque les variables importantes dans la base|0"
"16",16,"CESSATIONS-ENT-DOM-ENS/","Il manque les variables importantes dans la base|0"
"17",17,"CESSATIONS-ENT-FR-ENS/","Il manque les variables importantes dans la base|0"
"18",18,"CESSATIONS-ENT-FR-NES16/","Il manque les variables importantes dans la base|0"
"19",19,"CESSATIONS-ENT-FR-RGP/","Il manque les variables importantes dans la base|0"
"20",20,"CESSATIONS-ENT-REG-ENS/","Il manque les variables importantes dans la base|0"
"21",21,"CESSATIONS-ENT-REG-NES16/","Il manque les variables importantes dans la base|0"
"22",22,"CESSATIONS-ENT-REG-RGP/","Il manque les variables importantes dans la base|0"
"23",23,"CHEP-AGRI-DEP/","n'est pas mensuelle|0"
"24",24,"CHEP-AGRI-REG/","n'est pas mensuelle|0"
"25",25,"CHO-AN-AGE/","n'est pas mensuelle|0"
"26",26,"CHO-AN-CSP/","n'est pas mensuelle|0"
"27",27,"CHO-AN-HALO/","n'est pas mensuelle|0"
"28",28,"CHO-LGD-STR/","n'est pas mensuelle|0"
"29",29,"CHO-TRIM-HALO/","n'est pas mensuelle|0"
"30",30,"CHO-TRIM-HALO-CAT/","n'est pas mensuelle|0"
"31",31,"CHO-TRIM-NB-TX/","n'est pas mensuelle|0"
"32",32,"CHO-TRIM-PART-POP/","n'est pas mensuelle|0"
"33",33,"CIRCULATION-ROUTIERE/","Base bien chargee et en position 5|0"
"34",34,"CLIMAT-AFFAIRES/","Base bien chargee et en position 6|0"
"35",35,"CNA-2005-CF-BR/","erreur de chargement :|Error in download.file(paste(""http://www.bdm.insee.fr/series/sdmx/data/"",  : 
  impossible d'ouvrir l'URL 'http://www.bdm.insee.fr/series/sdmx/data/CNA-2005-CF-BR/?startPeriod=2014'
"
"36",36,"CNA-2005-CF-SI/","Il manque les variables importantes dans la base|0"
"37",37,"CNA-2005-CONSO-MEN-DURAB/","Il manque les variables importantes dans la base|0"
"38",38,"CNA-2005-CONSO-MEN-FONCTION/","Il manque les variables importantes dans la base|0"
"39",39,"CNA-2005-CONSO-MEN-PRODUIT/","Il manque les variables importantes dans la base|0"
"40",40,"CNA-2005-CONSO-SI-A17/","Il manque les variables importantes dans la base|0"
"41",41,"CNA-2005-CONSO-SI-A38/","Il manque les variables importantes dans la base|0"
"42",42,"CNA-2005-CONSO-SI-A88/","Il manque les variables importantes dans la base|0"
"43",43,"CNA-2005-CPEB-A17/","Il manque les variables importantes dans la base|0"
"44",44,"CNA-2005-CPEB-A38/","Il manque les variables importantes dans la base|0"
"45",45,"CNA-2005-CPEB-A88/","Il manque les variables importantes dans la base|0"
"46",46,"CNA-2005-CSI/","Il manque les variables importantes dans la base|0"
"47",47,"CNA-2005-DEP-APU/","Il manque les variables importantes dans la base|0"
"48",48,"CNA-2005-DEP-APU-OP/","Il manque les variables importantes dans la base|0"
"49",49,"CNA-2005-DETTE-APU/","Il manque les variables importantes dans la base|0"
"50",50,"CNA-2005-DUREE-TRAV-A17/","Il manque les variables importantes dans la base|0"
"51",51,"CNA-2005-DUREE-TRAV-A38/","Il manque les variables importantes dans la base|0"
"52",52,"CNA-2005-EMPLOI-A17/","Il manque les variables importantes dans la base|0"
"53",53,"CNA-2005-EMPLOI-A38/","Il manque les variables importantes dans la base|0"
"54",54,"CNA-2005-EMPLOI-SI/","Il manque les variables importantes dans la base|0"
"55",55,"CNA-2005-ERE-A17/","Il manque les variables importantes dans la base|0"
"56",56,"CNA-2005-ERE-A38/","Il manque les variables importantes dans la base|0"
"57",57,"CNA-2005-ERE-A88/","erreur de chargement :|Error in download.file(paste(""http://www.bdm.insee.fr/series/sdmx/data/"",  : 
  impossible d'ouvrir l'URL 'http://www.bdm.insee.fr/series/sdmx/data/CNA-2005-ERE-A88/?startPeriod=2014'
"
"58",58,"CNA-2005-FAF/","Il manque les variables importantes dans la base|0"
"59",59,"CNA-2005-FBCF-A17/","Il manque les variables importantes dans la base|0"
"60",60,"CNA-2005-FBCF-A38/","Il manque les variables importantes dans la base|0"
"61",61,"CNA-2005-FBCF-SI-A17/","Il manque les variables importantes dans la base|0"
"62",62,"CNA-2005-FBCF-SI-A38/","Il manque les variables importantes dans la base|0"
"63",63,"CNA-2005-FBCF-SI-A88/","Il manque les variables importantes dans la base|0"
"64",64,"CNA-2005-FINANCES-APU/","Il manque les variables importantes dans la base|0"
"65",65,"CNA-2005-PAT-NF/","Il manque les variables importantes dans la base|0"
"66",66,"CNA-2005-PIB/","Il manque les variables importantes dans la base|0"
"67",67,"CNA-2005-PRODUCTIVITE-A17/","Il manque les variables importantes dans la base|0"
"68",68,"CNA-2005-PRODUCTIVITE-A38/","Il manque les variables importantes dans la base|0"
"69",69,"CNA-2005-RDB/","Il manque les variables importantes dans la base|0"
"70",70,"CNA-2005-TEI-A10/","Il manque les variables importantes dans la base|0"
